width,height,aspect_ratio,brightness,colorfulness,sharpness,community_id,filename,quality_proxy
600.0,450.0,1.333333,90.188,94.1652,23.3671,655921,655921_00.jpg,67.9028
600.0,450.0,1.333333,91.2151,112.3667,31.0162,655921,655921_01.jpg,71.9525
600.0,450.0,1.333333,107.0513,94.9244,34.0979,655921,655921_02.jpg,74.7396
600.0,450.0,1.333333,81.2664,98.966,40.6571,655921,655921_03.jpg,72.7636
600.0,450.0,1.333333,100.2226,117.8059,39.9798,655921,655921_04.jpg,76.5129
600.0,450.0,1.333333,106.83,101.5893,39.9336,655921,655921_05.jpg,77.7889
600.0,450.0,1.333333,116.2694,118.4084,36.9871,846471,846471_00.jpg,78.7118
600.0,450.0,1.333333,120.8707,101.9357,51.7692,846471,846471_01.jpg,84.2299
600.0,450.0,1.333333,105.3881,93.5165,25.9371,846471,846471_02.jpg,71.5125
600.0,450.0,1.333333,104.492,131.3251,25.8832,846471,846471_03.jpg,72.9415
600.0,450.0,1.333333,78.6141,127.8283,31.2411,846471,846471_04.jpg,69.5616
600.0,450.0,1.333333,91.8035,72.7118,18.3059,846471,846471_05.jpg,61.2734
600.0,450.0,1.333333,107.8832,123.0019,23.6883,1004145,1004145_00.jpg,72.918
600.0,450.0,1.333333,102.294,124.5491,19.5979,1004145,1004145_01.jpg,70.5481
600.0,450.0,1.333333,99.0725,115.007,20.9508,1004145,1004145_02.jpg,70.3417
600.0,450.0,1.333333,109.7307,134.6721,22.6784,1004145,1004145_03.jpg,72.9632
600.0,450.0,1.333333,112.9264,79.9049,18.0004,1004145,1004145_04.jpg,67.1017
600.0,450.0,1.333333,95.5106,98.2515,14.2404,1004145,1004145_05.jpg,67.1119
600.0,450.0,1.333333,89.3083,83.8143,24.6664,231663,231663_00.jpg,65.5493
600.0,450.0,1.333333,96.07,106.1067,31.2203,231663,231663_01.jpg,72.9645
600.0,450.0,1.333333,152.9426,92.303,26.6955,231663,231663_02.jpg,70.9909
600.0,450.0,1.333333,187.9257,95.5409,26.9335,231663,231663_03.jpg,65.0422
600.0,450.0,1.333333,147.8664,89.0145,20.2281,231663,231663_04.jpg,69.1392
600.0,450.0,1.333333,78.7899,61.5009,26.7202,231663,231663_05.jpg,58.5584
600.0,450.0,1.333333,82.3302,64.0859,23.7741,846143,846143_00.jpg,58.9754
600.0,450.0,1.333333,96.4773,84.8571,20.8958,846143,846143_01.jpg,66.0319
600.0,450.0,1.333333,68.8876,90.5334,29.9116,846143,846143_02.jpg,64.8798
600.0,450.0,1.333333,75.2841,87.4479,29.0795,846143,846143_03.jpg,65.0977
600.0,450.0,1.333333,84.1631,99.6646,38.2048,846143,846143_04.jpg,72.7377
600.0,450.0,1.333333,89.1324,106.9443,39.4001,846143,846143_05.jpg,74.1657
600.0,450.0,1.333333,113.0027,125.2658,20.7029,302315,302315_00.jpg,72.9849
600.0,450.0,1.333333,120.344,152.7113,24.0532,302315,302315_01.jpg,75.4658
600.0,450.0,1.333333,137.0546,131.0287,32.1937,302315,302315_02.jpg,77.7365
600.0,450.0,1.333333,106.2755,129.9859,40.0237,302315,302315_03.jpg,77.7088
600.0,450.0,1.333333,146.6648,112.5941,28.3067,302315,302315_04.jpg,74.6448
600.0,450.0,1.333333,147.3368,113.9911,25.8021,302315,302315_05.jpg,73.7309
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1285689,1285689_00.jpg,31.8543
600.0,450.0,1.333333,106.2997,113.3119,16.2472,846654,846654_00.jpg,70.2834
600.0,450.0,1.333333,108.5798,123.5382,16.3171,846654,846654_01.jpg,70.7505
